filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
output/0x0314df8e5f5acb4c6cfea17babf5b216f0a687db.sol,0x0314df8e5f5acb4c6cfea17babf5b216f0a687db.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680160640.502132,631.8499200344086,,{External_Call_To_User_Supplied_Address_SWC_107},{},{},{DOCKER_TIMEOUT}
output/0x05efea44d16620f0030c2411b325407aa96bda92.sol,0x05efea44d16620f0030c2411b325407aa96bda92.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680155699.8960416,187.1606810092926,0,{},{},{},{}
output/0x05f1391ac3bcdc616a9b3e18ec77c269e05511df.sol,0x05f1391ac3bcdc616a9b3e18ec77c269e05511df.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680161630.9704826,624.7868421077728,,{},{},{},{DOCKER_TIMEOUT}
output/0x05f1a023aed9974344915eb33b98a31d6a883dc3.sol,0x05f1a023aed9974344915eb33b98a31d6a883dc3.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680161752.432097,613.6413366794586,,{},{},{},{DOCKER_TIMEOUT}
output/0x05f20fe8a29414708210ed9be4c6dac95310a324.sol,0x05f20fe8a29414708210ed9be4c6dac95310a324.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680149970.8140948,617.7461385726929,,{},{},{},{DOCKER_TIMEOUT}
output/0x05f49d328452e284a5cb4a113660e9c3a8a7a62c.sol,0x05f49d328452e284a5cb4a113660e9c3a8a7a62c.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680165694.1106966,499.2778980731964,1,"{Exception_State_SWC_110,External_Call_To_User_Supplied_Address_SWC_107,Multiple_Calls_in_a_Single_Transaction_SWC_113,State_access_after_external_call_SWC_107}",{},{},{}
output/0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27.sol,0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680162979.6930838,614.9311571121216,,{},{},{},{DOCKER_TIMEOUT}
output/0x05f4d78f7f42cc62a5b3a7e5abfe5eb3ff4ca1d3.sol,0x05f4d78f7f42cc62a5b3a7e5abfe5eb3ff4ca1d3.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680149712.0514522,617.2990272045135,,{},{},{},{DOCKER_TIMEOUT}
output/0x05f5fc11bca851ee261e205857e52ea5c830ae88.sol,0x05f5fc11bca851ee261e205857e52ea5c830ae88.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680151093.5446813,612.5581929683685,,{},{},{},{DOCKER_TIMEOUT}
output/0x05f8b281410c9327a1bbf508db380fd967c31df6.sol,0x05f8b281410c9327a1bbf508db380fd967c31df6.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680161888.9237137,622.4863595962524,,{},{},{},{DOCKER_TIMEOUT}
output/0x05f9abf4b0c5661e83b92c056a8791d5ccd7ca52.sol,0x05f9abf4b0c5661e83b92c056a8791d5ccd7ca52.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680160299.3011913,438.2385423183441,0,{},{},{},{}
output/0x05fa56daf3c7496854bf685e7f3f435f87589e58.sol,0x05fa56daf3c7496854bf685e7f3f435f87589e58.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680157582.1464949,615.2009098529816,,{},{},{},{DOCKER_TIMEOUT}
output/0x068696a3cf3c4676b65f1c9975dd094260109d02.sol,0x068696a3cf3c4676b65f1c9975dd094260109d02.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680152447.5781949,508.545791387558,1,{Integer_Arithmetic_Bugs_SWC_101},{},{},{}
output/0x0a07525aa264a3e14cdbdd839b1eda02a34e2778.sol,0x0a07525aa264a3e14cdbdd839b1eda02a34e2778.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680156644.8883185,645.4698014259338,,{},{},{},{DOCKER_TIMEOUT}
output/0x0a1439a8784f71cf6a0d186ef74b89274599d175.sol,0x0a1439a8784f71cf6a0d186ef74b89274599d175.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680164455.6608825,7.940262317657471,0,{},{},{Solc experienced a fatal error},{}
output/0x0a1506fb907eed471b1b4ac07511c19ea2ec5266.sol,0x0a1506fb907eed471b1b4ac07511c19ea2ec5266.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680151338.812628,612.1651618480682,,{},{},{},{DOCKER_TIMEOUT}
output/0x0a1769a2e66d55cb1d148646e192ed228d543dbf.sol,0x0a1769a2e66d55cb1d148646e192ed228d543dbf.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680150396.8702126,31.645263195037842,0,{},{},{},{}
output/0x0a2340e7af5dcf6f7f4acc0e01f2102fb4b144b7.sol,0x0a2340e7af5dcf6f7f4acc0e01f2102fb4b144b7.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680159055.4470172,499.217280626297,1,"{External_Call_To_User_Supplied_Address_SWC_107,State_access_after_external_call_SWC_107}",{},{},{}
